"baseline_id","case_id","case_version_id","method","path","group","app","business","scheduled_08_00","debug_execution_case_id","status_note"
"b0b34962-288d-45a3-92b2-b5c14eddc448","4762b48a-31f8-4a9e-a624-9fe78867265d","4ff7993a-1196-457d-b413-b213d1611e8c","GET","/print3dParam/api/v1/library/download","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"5efeff7a-1b5b-4121-a5de-e369bad5cf57","ac87883f-e2a3-4cab-89f3-83af0c1f5da3","eb1ee608-956c-4b43-9b20-d8931aab45e6","POST","/print3d/api/v1/question/feedback","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"d3ccaaef-addf-4bd5-a5ea-3ac09b78ddaa","52818cf3-5dee-4d94-bbba-4ae03261a42e","681ee143-1534-4ff8-9e44-9dde5845602f","POST","/print3d/api/v1/printJob/createReprint","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"26ae7ca6-e1ca-41b7-b08c-ff46114869d2","55531af9-ee11-4f2c-a504-30f11593355d","85536a72-1a11-4e69-8b08-9bc2342b8f52","POST","/print3d/api/v1/printJob/feedbackList","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"96f4e59f-68e2-407f-a887-dba368ececbd","34d65cc5-61a7-48d7-8997-16f79f3f2820","a716de29-c11a-4b1e-b88c-c13e281defb6","POST","/print3d/api/v1/modelComplaints/add","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"1add5543-1e51-4b62-bb07-9d8accdd1677","b85c2cb4-edc8-487b-b117-ad43e5924b0d","b933796a-0b5a-47c0-9866-1b9805002489","POST","/print3d/api/v1/aiModeling/image/optimizeAndGenerate","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"d008ed33-c11d-49c5-a0e1-b930000aab8c","4322a3e6-a855-41af-b824-f2931d2823ff","b7989b21-9ebf-4acb-b9e1-68bfed4755a1","POST","/print3d/api/v1/createTextModel/text","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"49d31ac6-10d4-437a-9fc5-2aa9ffc70e72","67fa4c38-f7e9-4844-ac10-6f7104c213d5","cf074d4e-1c21-4529-8fea-7635dc30d216","POST","/print3dParam/api/v1/library/download","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"21078633-5594-40d1-bfde-6448cffad06a","f0594695-8634-4a4b-95c1-54caae0e41c9","622930f6-ff1d-4669-9d68-3e2205307870","POST","/print3dParam/api/v1/model","API Test / 一次性","","","no","","一次性人工用例保留，不参与自动批量"
"b2efc4fb-cde3-4fad-b9da-608ee5a0f308","5e5336e3-8a00-46f1-bfee-91cec078ebe6","2bb328e9-672c-4af9-ab8e-75cc6b75d5b1","GET","/share/open/v1/BLogin/generateCaptcha","共享业务","","","no","","待核对所属应用/业务及接口契约，未完成本轮复验"
